ZipCode,Pop15Plus,FTAFTPS100,WhiteNH,Black,Hisp,Asian,Other,povrate,Pov,PovPop,FTA100,FTP100,DUIFTAS100,IncK
95258,3145,1.65341818332672,71.1287758346582,0.381558028616852,22.9570747217806,5.24642289348172,0.28616851568222,14.7116003036499,454,3086,2.38473773002625,0.858505547046661,0.0635930076241493,67.3860015869141
95219,21391,1.65490162372589,47.3236407835071,8.3913795521481,20.6254967042214,20.4852508064139,3.17423224449158,12.4467782974243,2631,21138,2.0101912021637,1.28091251850128,0.0467486344277859,73.911003112793
91740,21498,1.65596795082092,50.8419387850033,2.67466741092195,37.3011442924923,6.84714857196018,2.33510088920593,9.77535820007324,1993,20388,2.41417813301086,0.586101055145264,0.0651223361492157,66.879997253418
92586,17140,1.65694284439087,68.8448074679113,5.46674445740957,19.171528588098,3.74562427071179,2.77129530906677,11.0378427505493,1858,16833,1.08518087863922,1.80280041694641,0.128354728221893,35.935001373291
92116,28365,1.65697157382965,59.9506433985546,7.29067512779834,24.1812092367354,5.34108937070333,3.23638296127319,13.5497407913208,3811,28126,1.98131501674652,1.12815093994141,0.0282037705183029,53.4480018615723
91761,46038,1.65732657909393,20.9001259828837,8.20843650897085,64.0014770407055,5.97332638255354,0.916634082794189,10.3752174377441,4662,44934,1.91580867767334,1.3836395740509,0.147704064846039,60.9710006713867
93224,362,1.65745854377747,98.6187845303867,0,0.552486187845304,0,0.828729271888733,8.93854713439941,32,358,2.20994472503662,0.828729271888733,0,60.1139984130859
94107,24708,1.6593816280365,52.958555933301,4.12012303707301,11.2473692731099,27.0195887971507,4.65436315536499,11.7722091674805,2861,24303,2.545734167099,1.23441803455353,0.0283309053629637,114.439002990723
90005,32508,1.66112959384918,9.07776547311431,5.38021410114433,50.5383290267011,34.265411590993,0.738279819488525,22.8041591644287,7280,31924,2.56244611740112,0.609080851078033,0.0553709864616394,31.8929996490479
95651,420,1.66666662693024,95.2380952380952,0,2.38095238095238,2.38095238095238,0.0000000000000115463194561016,6.69975185394287,27,403,0.714285731315613,1.42857146263123,0,55.4459991455078
96056,1440,1.66666662693024,89.9305555555556,0,7.56944444444444,0,2.5,9.08445739746094,128,1409,2.15277767181396,0.833333313465118,0,46.1839981079102
90046,46964,1.66936373710632,75.9070777616898,4.1137892854101,10.3334468954944,5.85341964057576,3.79226636886597,16.5449752807617,7727,46703,2.62541532516479,0.423728823661804,0.0638787150382996,52.640998840332
95237,2635,1.66982924938202,74.4212523719165,0,22.3908918406072,1.06261859582543,2.12523722648621,14.7679328918457,385,2607,2.27703976631165,1.21442127227783,0.0379506647586823,44.5419998168945
93901,20916,1.67336010932922,41.0738190858673,2.31879900554599,49.2924077261427,6.51654235991585,0.798431813716888,15.2155456542969,3046,20019,3.23675656318665,1.81200993061066,0.0669344067573547,48.5139999389648
92368,717,1.67364013195038,49.9302649930265,2.78940027894003,38.3542538354254,0,8.92608070373535,20.6506366729736,146,707,2.37099027633667,2.64993023872375,0.139470010995865,27.8850002288818
93710,27249,1.67712581157684,46.8053873536644,8.92509816874014,30.5185511394914,10.1985393959411,3.55242395401001,25.9066944122314,6486,25036,3.26984477043152,1.82392013072968,0.128445073962212,42.2859992980957
95632,22826,1.6779111623764,59.2482257075265,2.39200911241567,34.6972750372382,1.71295890651012,1.94953119754791,14.7889547348022,3283,22199,2.03276968002319,2.05467438697815,0.0788574442267418,59.7309989929199
96088,3930,1.67938935756683,82.6972010178117,0.89058524173028,2.264631043257,3.68956743002544,10.4580154418945,11.1959285736084,440,3930,1.88295161724091,0.865139961242676,0.0508905872702599,46.0449981689453
92860,22504,1.67970132827759,57.4075719872023,6.49217916814789,26.9063277639531,4.89690721649485,4.29701375961304,8.13735485076904,1519,18667,1.56861007213593,1.50195515155792,0.128865972161293,84.9049987792969
94546,34887,1.67970871925354,56.4250293805716,5.94777424255453,17.470691088371,16.9490067933614,3.20749855041504,9.63557052612305,3268,33916,2.35904502868652,3.27915835380554,0.0401295609772205,73.0989990234375
92307,30065,1.68302011489868,62.4180941293863,8.2687510394146,25.4049559288209,1.80276068518211,2.10543823242188,16.3537406921387,4808,29400,2.59437894821167,2.29835367202759,0.169632464647293,56.4770011901855
93004,24516,1.68461418151855,62.7549355522924,1.07684777288302,29.9722630119106,3.41817588513624,2.77777767181396,7.9883017539978,1912,23935,1.50921845436096,2.3290913105011,0.0203948430716991,73.4729995727539
95691,27574,1.68637120723724,51.7770363385798,5.27670994415029,25.8794516573584,10.5896859360267,6.47711610794067,13.8860988616943,3733,26883,1.87495470046997,2.48785090446472,0.0689054876565933,63.5589981079102
92346,44624,1.68743276596069,40.4423628540696,12.3722660451775,35.6579419146648,8.84501613481535,2.68241310119629,16.6740398406982,7162,42953,2.04150223731995,1.80620288848877,0.112047329545021,62.1980018615723
92703,52820,1.68875420093536,6.29117758424839,1.30064369556986,76.3896251419917,15.3710715638016,0.64748203754425,20.4246501922607,10062,49264,1.37258613109589,1.25520634651184,0.0965543389320374,50.8240013122559
91423,26210,1.69400990009308,70.2365509347577,4.42197634490652,13.2086989698588,7.90156428843953,4.23120927810669,7.8813362121582,2043,25922,2.49904608726501,0.530331909656525,0.0457840487360954,74.0110015869141
93608,589,1.69779288768768,0,0,100,0,0,30.8231182098389,176,571,3.56536507606506,1.01867568492889,0.339558571577072,30.5230007171631
92707,46288,1.69806432723999,11.3182682336675,1.72182855167646,79.1587452471483,7.5051849291393,0.295973032712936,14.1662034988403,6367,44945,1.3740062713623,1.27462840080261,0.0928966477513313,57.3839988708496
96038,471,1.6985137462616,87.6857749469214,0,2.54777070063694,0,9.76645469665527,13.1182794570923,61,465,3.6093418598175,1.6985137462616,0,39.7919998168945
91387,31498,1.6985205411911,48.5459394247254,5.40351768366245,30.7670328274811,11.4038986602324,3.87961149215698,7.5809473991394,2346,30946,2.40967679023743,0.97466504573822,0.038097657263279,83.484001159668
91356,24961,1.69864988327026,71.4394455350347,4.04230599735588,14.9192740675454,6.97087456432034,2.62809991836548,12.9442663192749,3154,24366,2.5840311050415,0.653018712997437,0.0560874976217747,70.7590026855469
92056,42889,1.70439970493317,58.9731632819604,4.03133670638159,26.6175476229336,7.76889179043578,2.60906052589417,10.354546546936,4372,42223,2.13341426849365,1.26839053630829,0.0326424017548561,64.0329971313477
